Stock-ticker,Company Name,Sector,Mkt Cap,Added
CSL,Carlisle Companies,Industrial Conglomerates,12.39B,No
CSX,CSX Corporation,Road & Rail,80.82B,No
CTAS,Cintas,Commercial Services & Supplies,41.23B,No
CTLT,Catalent,Pharmaceuticals,18.53B,No
CTRA,Coterra Energy,Oil & Gas E&P,18.06B,No
CTSH,Cognizant Technology Solutions,IT Services,46.33B,No
CTVA,Corteva,Chemicals,35.42B,No
CTXS,Citrix Systems,Software,11.95B,No
CUBE,CubeSmart,Equity Real Estate Investment Trusts...,11.18B,No
CUK,Carnival,"Hotels, Restaurants & Leisure",24.49B,No
CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",30.07B,No
CVNA,Carvana Co.,Specialty Retail,27.77B,No
CVS,CVS Health,Health Care Providers & Services,140.22B,No
CVX,Chevron,"Oil, Gas & Consumable Fuels",248.59B,No
CX,CEMEX,Construction Materials,10.05B,No
CZR,Caesars Entertainment,"Hotels, Restaurants & Leisure",17.71B,No
D,Dominion Energy,Multi-Utilities,64.12B,No
DAL,Delta Air Lines,Airlines,25.80B,No
DAR,Darling Ingredients,Food Products,10.63B,No
DASH,DoorDash,Internet & Direct Marketing Retail,45.12B,No
DB,Deutsche Bank AG,Capital Markets,28.89B,No
DBX,Dropbox,Software,9.20B,No
DD,DuPont de Nemours,Chemicals,44.02B,No
DDOG,Datadog,Software,43.15B,No
DE,Deere & Company,Machinery,116.98B,No
DECK,Deckers Outdoor,"Textiles, Apparel & Luxury Goods",8.89B,No
DELL,Dell Technologies,"Technology Hardware, Storage & Periph...",46.24B,No
DEO,Diageo,Beverages,119.85B,No
DFS,Discover Financial Services,Consumer Finance,37.38B,No
DG,Dollar General,Multiline Retail,50.30B,No
DGX,Quest Diagnostics,Health Care Providers & Services,17.46B,No
DHI,D.R. Horton,Household Durables,35.09B,No
DHR,Danaher,Health Care Equipment & Supplies,209.59B,No
DIDI,DiDi Global,Software-Application,22.52B,No
DIS,The Walt Disney Company,Entertainment,276.18B,No
DISCA,Discovery,Media,15.57B,No
DISCB,Discovery,Media,15.57B,No
DISCK,Discovery,Media,15.57B,No
DISH,DISH Network,Media,19.14B,No
DKNG,DraftKings,"Hotels, Restaurants & Leisure",9.43B,No
DKS,Dick's Sporting Goods,Specialty Retail,9.67B,No
DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",9.29B,No
DLO,DLocal,Software-Infrastructure,8.63B,No
DLR,Digital Realty Trust,Equity Real Estate Investment Trusts...,44.24B,No
DLTR,Dollar Tree,Multiline Retail,29.43B,No
DNA,Ginkgo Bioworks Holdings,Biotechnology,8.61B,No
DNB,Dun & Bradstreet Holdings,Professional Services,8.49B,No
DOCS,Doximity,Health Information Services,8.63B,No
DOCU,DocuSign,Software,25.81B,No
DOV,Dover,Machinery,25.70B,No
DOW,Dow Inc.,Chemicals,44.92B,No
DOX,Amdocs,IT Services,9.43B,No
DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",17.20B,No
DRE,Duke Realty,Equity Real Estate Investment Trusts...,22.78B,No
DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",18.26B,No
DT,Dynatrace,Software,14.97B,No
DTE,DTE Energy Company,Multi-Utilities,23.13B,No
DUK,Duke Energy,Electric Utilities,80.04B,No
DVA,DaVita,Health Care Providers & Services,11.85B,No
DVN,Devon Energy,"Oil, Gas & Consumable Fuels",34.11B,No
DXC,DXC Technology Company,IT Services,8.57B,No
DXCM,DexCom,Health Care Equipment & Supplies,43.36B,No
E,Eni SpA,"Oil, Gas & Consumable Fuels",53.77B,No
EA,Electronic Arts,Entertainment,36.89B,No
EBAY,eBay Inc.,Internet & Direct Marketing Retail,39.72B,No
EBR,Centrais Eletricas Brasileiras,Electric Utilities,9.02B,No
EC,Ecopetrol,"Oil, Gas & Consumable Fuels",29.07B,No
ECL,Ecolab,Chemicals,61.91B,No
ED,Consolidated Edison,Multi-Utilities,29.55B,No
EDR,Endeavor Group Holdings,Entertainment,8.49B,No
EFX,Equifax,Professional Services,30.44B,No
EGP,EastGroup Properties,Equity Real Estate Investment Trusts...,8.44B,No
EIX,Edison International,Electric Utilities,24.22B,No
EL,The Estee Lauder Companies,Personal Products,115.92B,No
ELAN,Elanco Animal Health,Pharmaceuticals,12.79B,No
ELP,Companhia Paranaense de Energia,Electric Utilities,15.24B,No
ELS,Equity LifeStyle Properties,Equity Real Estate Investment Trusts...,14.81B,No
EMN,Eastman Chemical Company,Chemicals,17.15B,No
EMR,Emerson Electric Company,Electrical Equipment,58.06B,No
ENB,Enbridge,"Oil, Gas & Consumable Fuels",84.71B,No
ENIA,Enel Americas,Electric Utilities,12.70B,No
ENPH,Enphase Energy,Semiconductors & Semiconductor Equipment,19.27B,No
ENTG,Entegris,Semiconductors & Semiconductor Equipment,18.10B,No
EOG,EOG Resources,"Oil, Gas & Consumable Fuels",61.80B,No
EPAM,EPAM Systems,IT Services,30.80B,No
EPD,Enterprise Products Partners,"Oil, Gas & Consumable Fuels",52.35B,No
EQH,Equitable Holdings,Diversified Financial Services,14.56B,No
EQIX,Equinix,Equity Real Estate Investment Trusts...,67.24B,No
EQNR,Equinor ASA,"Oil, Gas & Consumable Fuels",94.87B,No
EQR,Equity Residential,Equity Real Estate Investment Trusts...,34.06B,No
EQT,EQT Corporation,"Oil, Gas & Consumable Fuels",8.99B,No
ERIC,Ericsson,Communications Equipment,38.18B,No
ERIE,Erie Indemnity Company,Insurance,9.57B,No
ES,Eversource Energy,Electric Utilities,30.04B,No
ESS,Essex Property Trust,Equity Real Estate Investment Trusts...,22.39B,No
ESTC,Elastic,Software,8.76B,No
ET,Energy Transfer LP,"Oil, Gas & Consumable Fuels",30.51B,No
