Stock-ticker,Company Name,Sector,Mkt Cap,Added
WSC,WillScot Mobile Mini Holdings,Construction & Engineering,8.57B,No
WSM,Williams-Sonoma,Specialty Retail,10.73B,No
WSO,Watsco,Trading Companies & Distributors,11.53B,No
WST,West Pharmaceutical Services,Health Care Equipment & Supplies,28.13B,No
WTRG,Essential Utilities,Water Utilities,12.49B,No
WTW,Willis Towers Watson,Insurance,29.57B,No
WY,Weyerhaeuser Company,Equity Real Estate Investment Trusts...,30.70B,No
WYNN,Wynn Resorts,"Hotels, Restaurants & Leisure",10.58B,No
XEL,Xcel Energy,Electric Utilities,37.15B,No
XLNX,Xilinx,Semiconductors & Semiconductor Equipment,49.19B,No
XM,Qualtrics International,Software-Application,15.53B,No
XOM,Exxon Mobil,"Oil, Gas & Consumable Fuels",306.22B,No
XP,XP Inc.,Capital Markets,16.08B,No
XPEV,XPeng,Automobiles,42.55B,No
XRAY,Dentsply Sirona,Health Care Equipment & Supplies,11.79B,No
XYL,Xylem,Machinery,20.11B,No
Y,Alleghany,Insurance,9.38B,No
YMM,Full Truck Alliance Co.,Software-Application,9.62B,No
YNDX,Yandex,Interactive Media & Services,18.77B,No
YUM,Yum! Brands,"Hotels, Restaurants & Leisure",37.25B,No
YUMC,Yum China Holdings,"Hotels, Restaurants & Leisure",19.92B,No
Z,Zillow Group,Interactive Media & Services,14.06B,No
ZBH,Zimmer Biomet Holdings,Health Care Equipment & Supplies,26.61B,No
ZBRA,Zebra Technologies,"Electronic Equipment, Instruments & C...",28.22B,No
ZEN,Zendesk,Software,12.21B,No
ZG,Zillow Group,Interactive Media & Services,14.06B,No
ZI,ZoomInfo Technologies,Interactive Media & Services,20.74B,No
ZION,Zions Bancorporation NA,Banks,11.05B,No
ZM,Zoom Video Communications,Software,47.60B,No
ZNGA,Zynga,Entertainment,10.13B,No
ZNH,China Southern Airlines Company,Airlines,16.62B,No
ZS,Zscaler,Software,35.68B,No
ZTO,ZTO Express (Cayman),Air Freight & Logistics,26.13B,No
ZTS,Zoetis,Pharmaceuticals,97.55B,No
